Target; Demand
WARSZAWA_TARG;6
WARSZAWA_TARCH;5
WARSZAWA_STAWKI;5
GDANSK_3;9
GDANSK_1;8
GDANSK_4;8
GDANSK_2;8
JOZEFOSLAW;6
WARSZAWA_BL;18
SZCZECIN_2;4
SZCZECIN_1;4
SZCZECIN_3;4
STARGARD_SZCZECINSKI;3
WROCLAW_1;7
WROCLAW_2;7
WROCLAW_3;7
WROCLAW_4;7
BYDGOSZCZ_1;6
BYDGOSZCZ_2;6
BYDGOSZCZ_3;6
GLOGOW_1;6
GLOGOW_2;4
ZIELONA_GORA_2;5
WROCLAW_2;10
WROCLAW_3;9
WROCLAW_4;9
WROCLAW_1;9
BYDGOSZCZ_3;7
BYDGOSZCZ_2;8
BYDGOSZCZ_1;8
LESZNO_2;3
LESZNO_1;3
LEGNICA;5
LUBIN;4
WROCLAW_5;16
PIOTRKOW_TRYB;6
RADOM;14
PABIANICE;6
SIERADZ;4
LODZ_1;12
LODZ_2;12
PILA_1;6
PILA_2;6
TRZCIANKA;4
ZLOTOW;4
INOWROCLAW;6
TORUN_2;5
TORUN_1;5
TORUN_3;5
SRODA_WLKP;3
JAROCIN;5
POZNAN_GL;3
KOSZALIN;12
GLOGOW_2;5
GLOGOW_1;5
LUBIN;6
LEGNICA;8
LUBON;6
POZNAN_PLE;5
POZNAN_PLA;10
POZNAN_GR;9
SWARZEDZ;4
POZNAN_Z;4
POZNAN_MAL;4
POZNAN_T;6
PNIEWY;5
POZNAN_H;4
KONIN;9
KALISZ_1;9
POZNAN_MAR;7
POZNAN_R;7
POZNAN_PRO;7
OBORNIKI_WLKP;7
SUCHY_LAS;5
POZNAN_B;5
PILA_2;6
ZLOTOW;4
PILA_1;6
POZNAN_GL;4
SUCHY_LAS;4
POZNAN_GR;9
POZNAN_Z;8
LUBON;17
POZNAN_PRO;18
POZNAN_R;18
POZNAN_MAL;11
POZNAN_H;11
POZNAN_MAR;13
POZNAN_T;13
POZNAN_MAL;10
LUBON;11
POZNAN_PLE;10
POZNAN_PLA;10
POZNAN_B;13
POZNAN_GR;7
POZNAN_B;8
POZNAN_MAR;10
POZNAN_T;9
POZNAN_R;7
POZNAN_H;6
POZNAN_PRO;18
POZNAN_PLA;8
POZNAN_PLE;8
