Target; Demand
WARSZAWA_STAWKI;17
BIALYSTOK_2;8
BIALYSTOK_1;8
BIELSKO_BIALA;9
KATOWICE;16
CHRZANOW;7
GDANSK_2;11
GDANSK_1;11
GDANSK_3;11
SZCZECIN_1;13
SZCZECIN_2;13
STARGARD_SZCZECINSKI;8
SZCZECIN_3;23
KIELCE;12
RZESZOW_2;10
RZESZOW_1;10
WARSZAWA_BL;17
WARSZAWA_BL;16
GRUDZIADZ_1;6
GRUDZIADZ_1;6
GRUDZIADZ_2;6
OLSZTYN;12
WARSZAWA_UR;12
WARSZAWA_TARG;12
WARSZAWA_TARCH;11
TCZEW;3
GRUDZIADZ_2;3
WARSZAWA_J;28
JOZEFOSLAW;4
BRWINOW;6
GDANSK_4;17
TCZEW;5
BYDGOSZCZ_1;5
BYDGOSZCZ_2;5
BYDGOSZCZ_3;5
INOWROCLAW;4
TORUN_3;4
TORUN_1;4
TORUN_2;4
PNIEWY;4
DREZDENKO;4
STRZELCE_KRAJENSKIE;4
GORZOW_1;5
GORZOW_2;6
ZIELONA_GORA_2;17
SLUBICE;7
PLOCK_1;11
PLOCK_2;11
PLOCK_3;11
POZNAN_MAR;4
POZNAN_T;3
POZNAN_GL;4
BYDGOSZCZ_1;16
GRUDZIADZ_2;8
POZNAN_Z;4
POZNAN_PRO;4
POZNAN_PLE;4
LUBON;3
POZNAN_B;5
POZNAN_H;4
POZNAN_R;4
POZNAN_MAL;5
POZNAN_GR;5
POZNAN_PLA;6
SUCHY_LAS;6
GNIEZNO;5
BYDGOSZCZ_3;8
BYDGOSZCZ_2;8
POZNAN_GR;5
SUCHY_LAS;5
POZNAN_Z;6
GORZOW_2;7
GORZOW_1;6
STRZELCE_KRAJENSKIE;4
PNIEWY;6
DREZDENKO;6
TARNOWO_PODGORNE;6
OBORNIKI_WLKP;7
TRZCIANKA;7
SRODA_WLKP;4
JAROCIN;4
LESZNO_1;7
LESZNO_2;7
POZNAN_PRO;9
POZNAN_PLE;9
POZNAN_MAL;3
POZNAN_H;3
POZNAN_MAR;3
POZNAN_T;3
POZNAN_PLA;3
POZNAN_R;3
POZNAN_B;3
POZNAN_PRO;3
LUBON;3
POZNAN_R;6
POZNAN_MAL;7
SWARZEDZ;7
POZNAN_B;10
LUBON;10
POZNAN_H;9
POZNAN_MAR;8
POZNAN_T;9
POZNAN_PLA;8
