Target; Demand
PABIANICE;7
PIOTRKOW_TRYB;7
RADOM;15
WROCLAW_2;7
WROCLAW_3;8
WROCLAW_4;8
WROCLAW_1;7
WROCLAW_1;13
WROCLAW_4;12
LUBIN;3
LEGNICA;4
GLOGOW_1;3
GLOGOW_2;3
WROCLAW_2;12
WROCLAW_5;11
BYDGOSZCZ_3;5
BYDGOSZCZ_1;5
BYDGOSZCZ_2;5
SIERADZ;17
LEGNICA;10
LUBIN;7
TORUN_2;4
TORUN_1;4
TORUN_3;4
LODZ_1;9
LODZ_2;9
PILA_1;13
KOSZALIN;14
POZNAN_PLE;6
LUBON;5
POZNAN_PRO;6
SRODA_WLKP;3
JAROCIN;3
LESZNO_1;4
LESZNO_2;3
KALISZ_1;10
KONIN;8
ZLOTOW;6
PILA_2;11
TRZCIANKA;6
POZNAN_H;4
POZNAN_MAR;3
POZNAN_R;4
POZNAN_T;5
POZNAN_B;5
POZNAN_PLA;6
SWARZEDZ;4
POZNAN_Z;4
POZNAN_GL;4
POZNAN_MAL;3
POZNAN_GR;5
SUCHY_LAS;5
OBORNIKI_WLKP;5
GLOGOW_1;10
GLOGOW_2;9
POZNAN_Z;7
SUCHY_LAS;6
POZNAN_GR;6
TORUN_1;10
TORUN_3;9
TORUN_2;8
INOWROCLAW;5
POZNAN_PRO;23
POZNAN_T;23
POZNAN_R;11
LUBON;11
POZNAN_MAR;3
POZNAN_H;4
POZNAN_PLA;4
POZNAN_T;3
POZNAN_B;3
POZNAN_R;4
POZNAN_MAL;5
POZNAN_PRO;5
LUBON;5
POZNAN_B;10
POZNAN_MAL;9
POZNAN_H;8
POZNAN_MAR;8
POZNAN_PLA;7
POZNAN_PLE;7
