From;To;Distance (km)
BIALYSTOK_1;WROCLAW_3;534,15
BIALYSTOK_1;WROCLAW_4;547,19
BIALYSTOK_1;WROCLAW_5;545,14
BIALYSTOK_1;ZLOTOW;506,84
BIALYSTOK_1;CHRZANOW;525,12
BIALYSTOK_1;KATOWICE;494,7
BIALYSTOK_1;BIELSKO_BIALA;543,44
BIALYSTOK_1;GDANSK_1;403,05
BIALYSTOK_1;GDANSK_2;401,43
BIALYSTOK_1;GDANSK_3;399,8
BIALYSTOK_1;STARGARD_SZCZECINSKI;638,94
BIALYSTOK_1;SZCZECIN_1;679,67
BIALYSTOK_1;SZCZECIN_2;676,06
BIALYSTOK_1;SZCZECIN_3;664,16
BIALYSTOK_1;TCZEW;391,23
BIALYSTOK_1;GRUDZIADZ_1;365,94
BIALYSTOK_1;GRUDZIADZ_2;356,91
BIALYSTOK_1;WARSZAWA_STAWKI;196,01
BIALYSTOK_1;JOZEFOSLAW;214,43
BIALYSTOK_1;GDANSK_4;398,82
BIALYSTOK_1;GDANSK_5;403,16
BIALYSTOK_1;OLSZTYN;229,19
BIALYSTOK_1;ZIELONA_GORA_1;645,97
BIALYSTOK_1;ZIELONA_GORA_2;646,64
BIALYSTOK_1;SLUBICE;664,78
BIALYSTOK_1;DREZDENKO;615,07
BIALYSTOK_1;STRZELCE_KRAJENSKIE;652,81
BIALYSTOK_1;GORZOW_1;656,81
BIALYSTOK_1;GORZOW_2;654,12
BIALYSTOK_1;PNIEWY;556,18
BIALYSTOK_1;PLOCK_1;272,82
BIALYSTOK_1;PLOCK_2;273,67
BIALYSTOK_1;PLOCK_3;273,67
BIALYSTOK_1;BRWINOW;221,13
BIALYSTOK_1;WARSZAWA_TARG;186,16
BIALYSTOK_1;WARSZAWA_UR;205,66
BIALYSTOK_1;TARNOWO_PODGORNE;525,32
BIALYSTOK_1;GNIEZNO;441,99
BIALYSTOK_1;GRUDZIADZ_3;365,79
BIALYSTOK_2;DC;494,35
BIALYSTOK_2;BIALYSTOK_1;2,75
BIALYSTOK_2;BYDGOSZCZ_1;399,61
BIALYSTOK_2;BYDGOSZCZ_2;390,26
BIALYSTOK_2;BYDGOSZCZ_3;396,08
BIALYSTOK_2;GLOGOW_1;588,49
BIALYSTOK_2;GLOGOW_2;591,27
BIALYSTOK_2;INOWROCLAW;398,66
BIALYSTOK_2;JAROCIN;471,32
BIALYSTOK_2;KALISZ_1;423,72
BIALYSTOK_2;KIELCE;373,75
BIALYSTOK_2;KONIN;422,98
BIALYSTOK_2;KOSZALIN;586,6
BIALYSTOK_2;LEGNICA;614,99
BIALYSTOK_2;LESZNO_1;567,46
BIALYSTOK_2;LESZNO_2;542,31
BIALYSTOK_2;LUBIN;603,97
BIALYSTOK_2;LUBON;497,12
BIALYSTOK_2;LODZ_1;317,01
BIALYSTOK_2;LODZ_2;326,22
BIALYSTOK_2;OBORNIKI_WLKP;545,73
BIALYSTOK_2;PABIANICE;336,98
BIALYSTOK_2;PILA_1;503,15
BIALYSTOK_2;PILA_2;502,76
BIALYSTOK_2;PIOTRKOW_TRYB;335,35
BIALYSTOK_2;POZNAN_Z;493,72
BIALYSTOK_2;POZNAN_B;497,17
BIALYSTOK_2;POZNAN_D;509,57
BIALYSTOK_2;POZNAN_GL;502,2
BIALYSTOK_2;POZNAN_GR;500,92
BIALYSTOK_2;POZNAN_H;500,47
BIALYSTOK_2;POZNAN_MAL;495,86
BIALYSTOK_2;POZNAN_MAR;502,62
BIALYSTOK_2;POZNAN_PLA;501,83
BIALYSTOK_2;POZNAN_PLE;504,14
BIALYSTOK_2;POZNAN_PRO;502,1
BIALYSTOK_2;POZNAN_R;496,66
BIALYSTOK_2;POZNAN_T;507,06
BIALYSTOK_2;RADOM;300,56
BIALYSTOK_2;RZESZOW_1;418,68
BIALYSTOK_2;RZESZOW_2;418,46
BIALYSTOK_2;SIERADZ;388,09
BIALYSTOK_2;SUCHY_LAS;511,34
BIALYSTOK_2;SWARZEDZ;492,71
BIALYSTOK_2;SRODA_WLKP;474,41
BIALYSTOK_2;TORUN_1;357,09
BIALYSTOK_2;TORUN_2;354,51
BIALYSTOK_2;TORUN_3;347,64
BIALYSTOK_2;TRZCIANKA;526,49
BIALYSTOK_2;WARSZAWA_BL;199,27
BIALYSTOK_2;WARSZAWA_J;211,22
BIALYSTOK_2;WARSZAWA_TARCH;193,67
BIALYSTOK_2;WROCLAW_1;543,06
BIALYSTOK_2;WROCLAW_2;543,92
BIALYSTOK_2;WROCLAW_3;530,98
BIALYSTOK_2;WROCLAW_4;544,02
BIALYSTOK_2;WROCLAW_5;541,97
BIALYSTOK_2;ZLOTOW;503,67
BIALYSTOK_2;CHRZANOW;521,95
BIALYSTOK_2;KATOWICE;491,53
BIALYSTOK_2;BIELSKO_BIALA;540,27
BIALYSTOK_2;GDANSK_1;399,89
BIALYSTOK_2;GDANSK_2;398,26
BIALYSTOK_2;GDANSK_3;396,63
BIALYSTOK_2;STARGARD_SZCZECINSKI;635,77
BIALYSTOK_2;SZCZECIN_1;676,5
BIALYSTOK_2;SZCZECIN_2;672,89
BIALYSTOK_2;SZCZECIN_3;660,99
BIALYSTOK_2;TCZEW;388,06
BIALYSTOK_2;GRUDZIADZ_1;362,77
BIALYSTOK_2;GRUDZIADZ_2;353,75
BIALYSTOK_2;WARSZAWA_STAWKI;192,84
BIALYSTOK_2;JOZEFOSLAW;211,26
BIALYSTOK_2;GDANSK_4;395,65
BIALYSTOK_2;GDANSK_5;399,99
BIALYSTOK_2;OLSZTYN;226,02
BIALYSTOK_2;ZIELONA_GORA_1;642,81
BIALYSTOK_2;ZIELONA_GORA_2;643,48
BIALYSTOK_2;SLUBICE;661,62
BIALYSTOK_2;DREZDENKO;611,91
BIALYSTOK_2;STRZELCE_KRAJENSKIE;649,64
BIALYSTOK_2;GORZOW_1;653,65
BIALYSTOK_2;GORZOW_2;650,96
BIALYSTOK_2;PNIEWY;553,01
BIALYSTOK_2;PLOCK_1;269,65
BIALYSTOK_2;PLOCK_2;270,5
BIALYSTOK_2;PLOCK_3;270,5
BIALYSTOK_2;BRWINOW;217,96
BIALYSTOK_2;WARSZAWA_TARG;182,99
BIALYSTOK_2;WARSZAWA_UR;202,49
BIALYSTOK_2;TARNOWO_PODGORNE;522,16
BIALYSTOK_2;GNIEZNO;438,82
BIALYSTOK_2;GRUDZIADZ_3;362,62
BYDGOSZCZ_1;DC;139,03
BYDGOSZCZ_1;BIALYSTOK_1;403,1
BYDGOSZCZ_1;BIALYSTOK_2;399,98
BYDGOSZCZ_1;BYDGOSZCZ_2;11,97
BYDGOSZCZ_1;BYDGOSZCZ_3;3,91
BYDGOSZCZ_1;GLOGOW_1;258,5
BYDGOSZCZ_1;GLOGOW_2;261,27
BYDGOSZCZ_1;INOWROCLAW;46,26
BYDGOSZCZ_1;JAROCIN;163,51
BYDGOSZCZ_1;KALISZ_1;174,83
BYDGOSZCZ_1;KIELCE;360,04
BYDGOSZCZ_1;KONIN;118,49
BYDGOSZCZ_1;KOSZALIN;196,84
BYDGOSZCZ_1;LEGNICA;292,24
BYDGOSZCZ_1;LESZNO_1;212,15
BYDGOSZCZ_1;LESZNO_2;214,51
BYDGOSZCZ_1;LUBIN;274,53
BYDGOSZCZ_1;LUBON;141,81
BYDGOSZCZ_1;LODZ_1;214,75
BYDGOSZCZ_1;LODZ_2;223,96
BYDGOSZCZ_1;OBORNIKI_WLKP;109,92
BYDGOSZCZ_1;PABIANICE;234,72
BYDGOSZCZ_1;PILA_1;92,25
BYDGOSZCZ_1;PILA_2;91,87
BYDGOSZCZ_1;PIOTRKOW_TRYB;257,79
BYDGOSZCZ_1;POZNAN_Z;138,4
BYDGOSZCZ_1;POZNAN_B;141,85
BYDGOSZCZ_1;POZNAN_D;132,52
BYDGOSZCZ_1;POZNAN_GL;146,89
BYDGOSZCZ_1;POZNAN_GR;135,4
BYDGOSZCZ_1;POZNAN_H;145,15
BYDGOSZCZ_1;POZNAN_MAL;140,54
BYDGOSZCZ_1;POZNAN_MAR;147,3
BYDGOSZCZ_1;POZNAN_PLA;136,61
BYDGOSZCZ_1;POZNAN_PLE;148,82
BYDGOSZCZ_1;POZNAN_PRO;146,78
BYDGOSZCZ_1;POZNAN_R;141,34
BYDGOSZCZ_1;POZNAN_T;151,74
BYDGOSZCZ_1;RADOM;360,37
BYDGOSZCZ_1;RZESZOW_1;548,06
BYDGOSZCZ_1;RZESZOW_2;555,97
BYDGOSZCZ_1;SIERADZ;209,05
BYDGOSZCZ_1;SUCHY_LAS;129,31
BYDGOSZCZ_1;SWARZEDZ;123,66
BYDGOSZCZ_1;SRODA_WLKP;130,75
BYDGOSZCZ_1;TORUN_1;43,02
BYDGOSZCZ_1;TORUN_2;47,21
BYDGOSZCZ_1;TORUN_3;53,24
BYDGOSZCZ_1;TRZCIANKA;115,6
BYDGOSZCZ_1;WARSZAWA_BL;277,99
BYDGOSZCZ_1;WARSZAWA_J;278,48
BYDGOSZCZ_1;WARSZAWA_TARCH;247,74
BYDGOSZCZ_1;WROCLAW_1;282,3
BYDGOSZCZ_1;WROCLAW_2;283,17
BYDGOSZCZ_1;WROCLAW_3;280,64
BYDGOSZCZ_1;WROCLAW_4;283,26
BYDGOSZCZ_1;WROCLAW_5;281,21
BYDGOSZCZ_1;ZLOTOW;92,78
BYDGOSZCZ_1;CHRZANOW;432,26
BYDGOSZCZ_1;KATOWICE;412,71
BYDGOSZCZ_1;BIELSKO_BIALA;461,46
BYDGOSZCZ_1;GDANSK_1;172,36
BYDGOSZCZ_1;GDANSK_2;162,39
BYDGOSZCZ_1;GDANSK_3;169,1
BYDGOSZCZ_1;STARGARD_SZCZECINSKI;224,88
BYDGOSZCZ_1;SZCZECIN_1;265,61
BYDGOSZCZ_1;SZCZECIN_2;262
BYDGOSZCZ_1;SZCZECIN_3;250,1
BYDGOSZCZ_1;TCZEW;142,21
BYDGOSZCZ_1;GRUDZIADZ_1;71,93
BYDGOSZCZ_1;GRUDZIADZ_2;72,93
BYDGOSZCZ_1;WARSZAWA_STAWKI;280,66
BYDGOSZCZ_1;JOZEFOSLAW;287,13
BYDGOSZCZ_1;GDANSK_4;163,11
BYDGOSZCZ_1;GDANSK_5;172,46
BYDGOSZCZ_1;OLSZTYN;210,21
BYDGOSZCZ_1;ZIELONA_GORA_1;287,49
BYDGOSZCZ_1;ZIELONA_GORA_2;288,16
BYDGOSZCZ_1;SLUBICE;306,3
BYDGOSZCZ_1;DREZDENKO;172,27
BYDGOSZCZ_1;STRZELCE_KRAJENSKIE;187,18
BYDGOSZCZ_1;GORZOW_1;209,89
BYDGOSZCZ_1;GORZOW_2;213,9
BYDGOSZCZ_1;PNIEWY;151,72
BYDGOSZCZ_1;PLOCK_1;157,74
BYDGOSZCZ_1;PLOCK_2;157,1
BYDGOSZCZ_1;PLOCK_3;157,1
BYDGOSZCZ_1;BRWINOW;262,25
BYDGOSZCZ_1;WARSZAWA_TARG;255,59
BYDGOSZCZ_1;WARSZAWA_UR;286,39
BYDGOSZCZ_1;TARNOWO_PODGORNE;139,86
BYDGOSZCZ_1;GNIEZNO;81,11
BYDGOSZCZ_1;GRUDZIADZ_3;71,77
BYDGOSZCZ_2;DC;149,17
BYDGOSZCZ_2;BIALYSTOK_1;393,9
BYDGOSZCZ_2;BIALYSTOK_2;390,78
BYDGOSZCZ_2;BYDGOSZCZ_1;12,09
BYDGOSZCZ_2;BYDGOSZCZ_3;8,57
BYDGOSZCZ_2;GLOGOW_1;268,64
BYDGOSZCZ_2;GLOGOW_2;271,41
BYDGOSZCZ_2;INOWROCLAW;56,41
BYDGOSZCZ_2;JAROCIN;173,66
BYDGOSZCZ_2;KALISZ_1;184,97
