From;To;Distance (km)
POZNAN_Z;BYDGOSZCZ_3;141,23
POZNAN_Z;GLOGOW_1;126,33
POZNAN_Z;GLOGOW_2;129,1
POZNAN_Z;INOWROCLAW;118,89
POZNAN_Z;JAROCIN;71,93
POZNAN_Z;KALISZ_1;141,1
POZNAN_Z;KIELCE;345,17
POZNAN_Z;KONIN;96,63
POZNAN_Z;KOSZALIN;248,97
POZNAN_Z;LEGNICA;176,64
POZNAN_Z;LESZNO_1;79,98
POZNAN_Z;LESZNO_2;82,35
POZNAN_Z;LUBIN;158,93
POZNAN_Z;LUBON;9,17
POZNAN_Z;LODZ_1;194,12
POZNAN_Z;LODZ_2;206,42
POZNAN_Z;OBORNIKI_WLKP;39,13
POZNAN_Z;PABIANICE;217,18
POZNAN_Z;PILA_1;109,15
POZNAN_Z;PILA_2;109,74
POZNAN_Z;PIOTRKOW_TRYB;242,92
POZNAN_Z;POZNAN_B;4,4
POZNAN_Z;POZNAN_D;14,67
POZNAN_Z;POZNAN_GL;7,3
POZNAN_Z;POZNAN_GR;8,15
POZNAN_Z;POZNAN_H;5,56
POZNAN_Z;POZNAN_MAL;3,09
POZNAN_Z;POZNAN_MAR;7,72
POZNAN_Z;POZNAN_PLA;9,07
POZNAN_Z;POZNAN_PLE;13,05
POZNAN_Z;POZNAN_PRO;9,36
POZNAN_Z;POZNAN_R;2,36
POZNAN_Z;POZNAN_T;12,16
POZNAN_Z;RADOM;365,12
POZNAN_Z;RZESZOW_1;514,72
POZNAN_Z;RZESZOW_2;522,63
POZNAN_Z;SIERADZ;180,61
POZNAN_Z;SUCHY_LAS;16,44
POZNAN_Z;SWARZEDZ;12,12
POZNAN_Z;SRODA_WLKP;31,84
POZNAN_Z;TORUN_1;160,95
POZNAN_Z;TORUN_2;161,6
POZNAN_Z;TORUN_3;164,76
POZNAN_Z;TRZCIANKA;94,47
POZNAN_Z;WARSZAWA_BL;302,41
POZNAN_Z;WARSZAWA_J;302,9
POZNAN_Z;WARSZAWA_TARCH;312,04
POZNAN_Z;WROCLAW_1;166,7
POZNAN_Z;WROCLAW_2;167,57
POZNAN_Z;WROCLAW_3;165,04
POZNAN_Z;WROCLAW_4;167,66
POZNAN_Z;WROCLAW_5;165,61
POZNAN_Z;ZLOTOW;131,85
POZNAN_Z;CHRZANOW;397,71
POZNAN_Z;KATOWICE;363,86
POZNAN_Z;BIELSKO_BIALA;418,94
POZNAN_Z;GDANSK_1;309,68
POZNAN_Z;GDANSK_2;299,71
POZNAN_Z;GDANSK_3;306,42
POZNAN_Z;STARGARD_SZCZECINSKI;251,85
POZNAN_Z;SZCZECIN_1;272,53
POZNAN_Z;SZCZECIN_2;268,43
POZNAN_Z;SZCZECIN_3;263,5
POZNAN_Z;TCZEW;279,53
POZNAN_Z;GRUDZIADZ_1;209,25
POZNAN_Z;GRUDZIADZ_2;223,87
POZNAN_Z;WARSZAWA_STAWKI;305,07
POZNAN_Z;JOZEFOSLAW;311,54
POZNAN_Z;GDANSK_4;300,43
POZNAN_Z;GDANSK_5;309,78
POZNAN_Z;OLSZTYN;337,72
POZNAN_Z;ZIELONA_GORA_1;155,32
POZNAN_Z;ZIELONA_GORA_2;155,99
POZNAN_Z;SLUBICE;174,13
POZNAN_Z;DREZDENKO;113,77
POZNAN_Z;STRZELCE_KRAJENSKIE;135,56
POZNAN_Z;GORZOW_1;166,16
POZNAN_Z;GORZOW_2;163,47
POZNAN_Z;PNIEWY;54,88
POZNAN_Z;PLOCK_1;223,43
POZNAN_Z;PLOCK_2;222,79
POZNAN_Z;PLOCK_3;222,79
POZNAN_Z;BRWINOW;286,66
POZNAN_Z;WARSZAWA_TARG;312,28
POZNAN_Z;WARSZAWA_UR;310,8
POZNAN_Z;TARNOWO_PODGORNE;24,02
POZNAN_Z;GNIEZNO;58,53
POZNAN_Z;GRUDZIADZ_3;209,09
POZNAN_B;DC;13,98
POZNAN_B;BIALYSTOK_1;500,43
POZNAN_B;BIALYSTOK_2;497,31
POZNAN_B;BYDGOSZCZ_1;141,44
POZNAN_B;BYDGOSZCZ_2;152,15
POZNAN_B;BYDGOSZCZ_3;144,08
POZNAN_B;GLOGOW_1;124,8
POZNAN_B;GLOGOW_2;127,57
POZNAN_B;INOWROCLAW;121,74
POZNAN_B;JAROCIN;74,79
POZNAN_B;KALISZ_1;143,95
POZNAN_B;KIELCE;348,03
POZNAN_B;KONIN;99,49
POZNAN_B;KOSZALIN;243,04
POZNAN_B;LEGNICA;179,5
POZNAN_B;LESZNO_1;78,45
POZNAN_B;LESZNO_2;80,81
POZNAN_B;LUBIN;161,78
POZNAN_B;LUBON;7,64
POZNAN_B;LODZ_1;196,98
POZNAN_B;LODZ_2;209,28
POZNAN_B;OBORNIKI_WLKP;33,19
POZNAN_B;PABIANICE;220,03
POZNAN_B;PILA_1;103,22
POZNAN_B;PILA_2;103,81
POZNAN_B;PIOTRKOW_TRYB;245,78
POZNAN_B;POZNAN_Z;4,32
POZNAN_B;POZNAN_D;8,74
POZNAN_B;POZNAN_GL;2,86
POZNAN_B;POZNAN_GR;4,96
POZNAN_B;POZNAN_H;3,55
POZNAN_B;POZNAN_MAL;3
POZNAN_B;POZNAN_MAR;3,67
POZNAN_B;POZNAN_PLA;5,46
POZNAN_B;POZNAN_PLE;10,16
POZNAN_B;POZNAN_PRO;6,66
POZNAN_B;POZNAN_R;3,44
POZNAN_B;POZNAN_T;6,86
POZNAN_B;RADOM;367,98
POZNAN_B;RZESZOW_1;517,58
POZNAN_B;RZESZOW_2;525,48
POZNAN_B;SIERADZ;183,47
POZNAN_B;SUCHY_LAS;10,5
POZNAN_B;SWARZEDZ;11,94
POZNAN_B;SRODA_WLKP;34,69
POZNAN_B;TORUN_1;163,8
POZNAN_B;TORUN_2;164,45
POZNAN_B;TORUN_3;167,61
POZNAN_B;TRZCIANKA;88,54
POZNAN_B;WARSZAWA_BL;305,26
POZNAN_B;WARSZAWA_J;305,75
POZNAN_B;WARSZAWA_TARCH;314,89
POZNAN_B;WROCLAW_1;169,56
POZNAN_B;WROCLAW_2;170,43
POZNAN_B;WROCLAW_3;167,9
POZNAN_B;WROCLAW_4;170,52
POZNAN_B;WROCLAW_5;168,47
POZNAN_B;ZLOTOW;130,71
POZNAN_B;CHRZANOW;400,57
POZNAN_B;KATOWICE;366,72
POZNAN_B;BIELSKO_BIALA;421,79
POZNAN_B;GDANSK_1;312,53
POZNAN_B;GDANSK_2;302,57
POZNAN_B;GDANSK_3;309,27
POZNAN_B;STARGARD_SZCZECINSKI;205,52
POZNAN_B;SZCZECIN_1;271
POZNAN_B;SZCZECIN_2;266,9
POZNAN_B;SZCZECIN_3;261,97
POZNAN_B;TCZEW;282,39
POZNAN_B;GRUDZIADZ_1;212,1
POZNAN_B;GRUDZIADZ_2;226,73
POZNAN_B;WARSZAWA_STAWKI;307,93
POZNAN_B;JOZEFOSLAW;314,4
POZNAN_B;GDANSK_4;303,28
POZNAN_B;GDANSK_5;312,64
POZNAN_B;OLSZTYN;340,57
POZNAN_B;ZIELONA_GORA_1;153,79
POZNAN_B;ZIELONA_GORA_2;154,46
POZNAN_B;SLUBICE;172,6
POZNAN_B;DREZDENKO;108,47
POZNAN_B;STRZELCE_KRAJENSKIE;130,26
POZNAN_B;GORZOW_1;164,63
POZNAN_B;GORZOW_2;161,94
POZNAN_B;PNIEWY;49,58
POZNAN_B;PLOCK_1;226,28
POZNAN_B;PLOCK_2;225,65
POZNAN_B;PLOCK_3;225,65
POZNAN_B;BRWINOW;289,52
POZNAN_B;WARSZAWA_TARG;315,13
POZNAN_B;WARSZAWA_UR;313,66
POZNAN_B;TARNOWO_PODGORNE;18,72
POZNAN_B;GNIEZNO;61,39
POZNAN_B;GRUDZIADZ_3;211,95
POZNAN_D;DC;21,63
POZNAN_D;BIALYSTOK_1;512,99
POZNAN_D;BIALYSTOK_2;509,87
POZNAN_D;BYDGOSZCZ_1;139,83
POZNAN_D;BYDGOSZCZ_2;143,59
POZNAN_D;BYDGOSZCZ_3;135,52
POZNAN_D;GLOGOW_1;128,67
POZNAN_D;GLOGOW_2;131,44
POZNAN_D;INOWROCLAW;120,13
POZNAN_D;JAROCIN;82,44
POZNAN_D;KALISZ_1;156,51
POZNAN_D;KIELCE;360,58
POZNAN_D;KONIN;112,04
POZNAN_D;KOSZALIN;236,3
POZNAN_D;LEGNICA;187,15
POZNAN_D;LESZNO_1;82,32
POZNAN_D;LESZNO_2;84,68
POZNAN_D;LUBIN;159,39
POZNAN_D;LUBON;14,54
POZNAN_D;LODZ_1;209,53
POZNAN_D;LODZ_2;221,83
POZNAN_D;OBORNIKI_WLKP;26,45
POZNAN_D;PABIANICE;232,59
POZNAN_D;PILA_1;96,48
POZNAN_D;PILA_2;97,06
POZNAN_D;PIOTRKOW_TRYB;258,33
POZNAN_D;POZNAN_Z;11,97
POZNAN_D;POZNAN_B;8,61
POZNAN_D;POZNAN_GL;9,12
POZNAN_D;POZNAN_GR;6,06
POZNAN_D;POZNAN_H;10,47
POZNAN_D;POZNAN_MAL;10,6
POZNAN_D;POZNAN_MAR;7,83
POZNAN_D;POZNAN_PLA;4,48
POZNAN_D;POZNAN_PLE;14,12
POZNAN_D;POZNAN_PRO;10,63
POZNAN_D;POZNAN_R;13,12
POZNAN_D;POZNAN_T;4,39
POZNAN_D;RADOM;380,53
POZNAN_D;RZESZOW_1;530,14
POZNAN_D;RZESZOW_2;538,04
POZNAN_D;SIERADZ;196,03
POZNAN_D;SUCHY_LAS;3,76
POZNAN_D;SWARZEDZ;16,44
POZNAN_D;SRODA_WLKP;42,35
POZNAN_D;TORUN_1;162,19
POZNAN_D;TORUN_2;162,84
POZNAN_D;TORUN_3;166
POZNAN_D;TRZCIANKA;81,79
POZNAN_D;WARSZAWA_BL;317,82
POZNAN_D;WARSZAWA_J;318,31
POZNAN_D;WARSZAWA_TARCH;327,45
POZNAN_D;WROCLAW_1;177,21
POZNAN_D;WROCLAW_2;178,08
POZNAN_D;WROCLAW_3;175,55
POZNAN_D;WROCLAW_4;178,17
POZNAN_D;WROCLAW_5;176,12
POZNAN_D;ZLOTOW;123,97
POZNAN_D;CHRZANOW;408,22
POZNAN_D;KATOWICE;374,37
POZNAN_D;BIELSKO_BIALA;429,45
POZNAN_D;GDANSK_1;303,97
POZNAN_D;GDANSK_2;294,01
POZNAN_D;GDANSK_3;300,71
POZNAN_D;STARGARD_SZCZECINSKI;202,92
POZNAN_D;SZCZECIN_1;240,48
POZNAN_D;SZCZECIN_2;236,38
POZNAN_D;SZCZECIN_3;231,45
POZNAN_D;TCZEW;273,83
POZNAN_D;GRUDZIADZ_1;203,54
POZNAN_D;GRUDZIADZ_2;225,11
POZNAN_D;WARSZAWA_STAWKI;320,48
POZNAN_D;JOZEFOSLAW;326,95
POZNAN_D;GDANSK_4;294,72
POZNAN_D;GDANSK_5;304,08
POZNAN_D;OLSZTYN;338,96
POZNAN_D;ZIELONA_GORA_1;153,86
POZNAN_D;ZIELONA_GORA_2;154,53
POZNAN_D;SLUBICE;172,67
POZNAN_D;DREZDENKO;105,87
POZNAN_D;STRZELCE_KRAJENSKIE;127,66
POZNAN_D;GORZOW_1;134,11
POZNAN_D;GORZOW_2;131,42
POZNAN_D;PNIEWY;46,98
POZNAN_D;PLOCK_1;238,84
POZNAN_D;PLOCK_2;238,2
POZNAN_D;PLOCK_3;238,2
POZNAN_D;BRWINOW;302,08
POZNAN_D;WARSZAWA_TARG;327,69
POZNAN_D;WARSZAWA_UR;326,21
POZNAN_D;TARNOWO_PODGORNE;16,12
POZNAN_D;GNIEZNO;59,77
POZNAN_D;GRUDZIADZ_3;203,39
POZNAN_GL;DC;19,44
POZNAN_GL;BIALYSTOK_1;505,54
POZNAN_GL;BIALYSTOK_2;502,42
POZNAN_GL;BYDGOSZCZ_1;146,55
POZNAN_GL;BYDGOSZCZ_2;157,26
POZNAN_GL;BYDGOSZCZ_3;149,19
POZNAN_GL;GLOGOW_1;120,32
POZNAN_GL;GLOGOW_2;123,09
POZNAN_GL;INOWROCLAW;126,85
POZNAN_GL;JAROCIN;80,26
POZNAN_GL;KALISZ_1;149,06
POZNAN_GL;KIELCE;353,13
POZNAN_GL;KONIN;104,6
POZNAN_GL;KOSZALIN;243,74
POZNAN_GL;LEGNICA;181,69
POZNAN_GL;LESZNO_1;73,97
POZNAN_GL;LESZNO_2;76,33
POZNAN_GL;LUBIN;151,04
POZNAN_GL;LUBON;6,19
POZNAN_GL;LODZ_1;202,08
POZNAN_GL;LODZ_2;214,38
POZNAN_GL;OBORNIKI_WLKP;33,9
POZNAN_GL;PABIANICE;225,14
POZNAN_GL;PILA_1;103,92
POZNAN_GL;PILA_2;104,51
POZNAN_GL;PIOTRKOW_TRYB;250,89
POZNAN_GL;POZNAN_Z;7,71
POZNAN_GL;POZNAN_B;3,8
POZNAN_GL;POZNAN_D;9,44
POZNAN_GL;POZNAN_GR;6,08
POZNAN_GL;POZNAN_H;3,02
POZNAN_GL;POZNAN_MAL;8,16
POZNAN_GL;POZNAN_MAR;2,49
POZNAN_GL;POZNAN_PLA;7,59
POZNAN_GL;POZNAN_PLE;7,82
POZNAN_GL;POZNAN_PRO;4,13
POZNAN_GL;POZNAN_R;5,67
POZNAN_GL;POZNAN_T;6,93
POZNAN_GL;RADOM;373,09
POZNAN_GL;RZESZOW_1;522,69
POZNAN_GL;RZESZOW_2;530,59
POZNAN_GL;SIERADZ;188,58
POZNAN_GL;SUCHY_LAS;11,21
POZNAN_GL;SWARZEDZ;14,42
POZNAN_GL;SRODA_WLKP;40,16
POZNAN_GL;TORUN_1;168,91
POZNAN_GL;TORUN_2;169,56
POZNAN_GL;TORUN_3;172,72
POZNAN_GL;TRZCIANKA;89,24
POZNAN_GL;WARSZAWA_BL;310,37
POZNAN_GL;WARSZAWA_J;310,86
POZNAN_GL;WARSZAWA_TARCH;320
POZNAN_GL;WROCLAW_1;175,84
POZNAN_GL;WROCLAW_2;176,71
POZNAN_GL;WROCLAW_3;174,18
POZNAN_GL;WROCLAW_4;176,8
POZNAN_GL;WROCLAW_5;174,75
POZNAN_GL;ZLOTOW;131,42
POZNAN_GL;CHRZANOW;406,03
POZNAN_GL;KATOWICE;372,18
POZNAN_GL;BIELSKO_BIALA;427,26
POZNAN_GL;GDANSK_1;317,64
POZNAN_GL;GDANSK_2;307,68
POZNAN_GL;GDANSK_3;314,38
POZNAN_GL;STARGARD_SZCZECINSKI;205,59
POZNAN_GL;SZCZECIN_1;266,98
POZNAN_GL;SZCZECIN_2;262,89
POZNAN_GL;SZCZECIN_3;257,96
POZNAN_GL;TCZEW;287,5
POZNAN_GL;GRUDZIADZ_1;217,21
POZNAN_GL;GRUDZIADZ_2;231,84
POZNAN_GL;WARSZAWA_STAWKI;313,04
POZNAN_GL;JOZEFOSLAW;319,5
POZNAN_GL;GDANSK_4;308,39
POZNAN_GL;GDANSK_5;317,75
POZNAN_GL;OLSZTYN;345,68
POZNAN_GL;ZIELONA_GORA_1;149,77
POZNAN_GL;ZIELONA_GORA_2;150,44
POZNAN_GL;SLUBICE;168,58
POZNAN_GL;DREZDENKO;108,54
POZNAN_GL;STRZELCE_KRAJENSKIE;130,33
POZNAN_GL;GORZOW_1;160,62
POZNAN_GL;GORZOW_2;157,92
POZNAN_GL;PNIEWY;49,65
POZNAN_GL;PLOCK_1;231,39
POZNAN_GL;PLOCK_2;230,76
POZNAN_GL;PLOCK_3;230,76
POZNAN_GL;BRWINOW;294,63
POZNAN_GL;WARSZAWA_TARG;320,24
POZNAN_GL;WARSZAWA_UR;318,77
POZNAN_GL;TARNOWO_PODGORNE;18,79
POZNAN_GL;GNIEZNO;66,5
POZNAN_GL;GRUDZIADZ_3;217,06
POZNAN_GR;DC;17,67
POZNAN_GR;BIALYSTOK_1;504,12
POZNAN_GR;BIALYSTOK_2;501
POZNAN_GR;BYDGOSZCZ_1;135,73
POZNAN_GR;BYDGOSZCZ_2;146,44
POZNAN_GR;BYDGOSZCZ_3;138,37
POZNAN_GR;GLOGOW_1;125,49
POZNAN_GR;GLOGOW_2;128,26
POZNAN_GR;INOWROCLAW;116,03
POZNAN_GR;JAROCIN;78,48
POZNAN_GR;KALISZ_1;147,64
POZNAN_GR;KIELCE;351,72
POZNAN_GR;KONIN;103,18
POZNAN_GR;KOSZALIN;240,5
POZNAN_GR;LEGNICA;183,19
POZNAN_GR;LESZNO_1;79,14
POZNAN_GR;LESZNO_2;81,5
POZNAN_GR;LUBIN;165,47
POZNAN_GR;LUBON;11,9
POZNAN_GR;LODZ_1;200,67
POZNAN_GR;LODZ_2;212,97
POZNAN_GR;OBORNIKI_WLKP;30,66
POZNAN_GR;PABIANICE;223,73
POZNAN_GR;PILA_1;100,69
POZNAN_GR;PILA_2;101,27
POZNAN_GR;PIOTRKOW_TRYB;249,47
POZNAN_GR;POZNAN_Z;8,01
POZNAN_GR;POZNAN_B;4,65
POZNAN_GR;POZNAN_D;6,2
POZNAN_GR;POZNAN_GL;5,17
POZNAN_GR;POZNAN_H;7,44
POZNAN_GR;POZNAN_MAL;5,64
POZNAN_GR;POZNAN_MAR;5,32
POZNAN_GR;POZNAN_PLA;2,79
POZNAN_GR;POZNAN_PLE;11,8
POZNAN_GR;POZNAN_PRO;8,31
POZNAN_GR;POZNAN_R;7,13
POZNAN_GR;POZNAN_T;8,47
POZNAN_GR;RADOM;371,67
POZNAN_GR;RZESZOW_1;521,27
POZNAN_GR;RZESZOW_2;529,18
POZNAN_GR;SIERADZ;187,16
POZNAN_GR;SUCHY_LAS;7,97
POZNAN_GR;SWARZEDZ;12,35
POZNAN_GR;SRODA_WLKP;38,39
POZNAN_GR;TORUN_1;158,09
POZNAN_GR;TORUN_2;158,74
POZNAN_GR;TORUN_3;161,9
POZNAN_GR;TRZCIANKA;86
POZNAN_GR;WARSZAWA_BL;308,96
POZNAN_GR;WARSZAWA_J;309,44
POZNAN_GR;WARSZAWA_TARCH;318,59
POZNAN_GR;WROCLAW_1;173,25
POZNAN_GR;WROCLAW_2;174,12
POZNAN_GR;WROCLAW_3;171,59
POZNAN_GR;WROCLAW_4;174,21
POZNAN_GR;WROCLAW_5;172,16
POZNAN_GR;ZLOTOW;128,18
POZNAN_GR;CHRZANOW;404,26
POZNAN_GR;KATOWICE;370,41
POZNAN_GR;BIELSKO_BIALA;425,49
POZNAN_GR;GDANSK_1;306,82
POZNAN_GR;GDANSK_2;296,85
POZNAN_GR;GDANSK_3;303,56
POZNAN_GR;STARGARD_SZCZECINSKI;207
POZNAN_GR;SZCZECIN_1;275,26
POZNAN_GR;SZCZECIN_2;271,16
POZNAN_GR;SZCZECIN_3;266,23
POZNAN_GR;TCZEW;276,67
POZNAN_GR;GRUDZIADZ_1;206,39
POZNAN_GR;GRUDZIADZ_2;221,01
POZNAN_GR;WARSZAWA_STAWKI;311,62
POZNAN_GR;JOZEFOSLAW;318,09
POZNAN_GR;GDANSK_4;297,57
POZNAN_GR;GDANSK_5;306,92
POZNAN_GR;OLSZTYN;334,86
POZNAN_GR;ZIELONA_GORA_1;158,05
POZNAN_GR;ZIELONA_GORA_2;158,72
POZNAN_GR;SLUBICE;176,86
POZNAN_GR;DREZDENKO;109,95
POZNAN_GR;STRZELCE_KRAJENSKIE;131,74
POZNAN_GR;GORZOW_1;168,89
POZNAN_GR;GORZOW_2;166,2
POZNAN_GR;PNIEWY;51,06
POZNAN_GR;PLOCK_1;229,98
POZNAN_GR;PLOCK_2;229,34
POZNAN_GR;PLOCK_3;229,34
POZNAN_GR;BRWINOW;293,21
POZNAN_GR;WARSZAWA_TARG;318,83
POZNAN_GR;WARSZAWA_UR;317,35
POZNAN_GR;TARNOWO_PODGORNE;20,2
POZNAN_GR;GNIEZNO;55,67
POZNAN_GR;GRUDZIADZ_3;206,23
POZNAN_H;DC;16,42
POZNAN_H;BIALYSTOK_1;502,52
POZNAN_H;BIALYSTOK_2;499,4
POZNAN_H;BYDGOSZCZ_1;143,53
POZNAN_H;BYDGOSZCZ_2;154,24
POZNAN_H;BYDGOSZCZ_3;146,17
POZNAN_H;GLOGOW_1;123,38
POZNAN_H;GLOGOW_2;126,16
POZNAN_H;INOWROCLAW;123,83
POZNAN_H;JAROCIN;77,23
POZNAN_H;KALISZ_1;146,04
POZNAN_H;KIELCE;350,11
POZNAN_H;KONIN;101,57
POZNAN_H;KOSZALIN;245,52
POZNAN_H;LEGNICA;181,94
POZNAN_H;LESZNO_1;77,03
POZNAN_H;LESZNO_2;79,4
POZNAN_H;LUBIN;154,1
POZNAN_H;LUBON;4,84
POZNAN_H;LODZ_1;199,06
POZNAN_H;LODZ_2;211,36
POZNAN_H;OBORNIKI_WLKP;35,68
POZNAN_H;PABIANICE;222,12
POZNAN_H;PILA_1;105,7
POZNAN_H;PILA_2;106,29
POZNAN_H;PIOTRKOW_TRYB;247,86
POZNAN_H;POZNAN_Z;4,69
POZNAN_H;POZNAN_B;3,21
POZNAN_H;POZNAN_D;11,22
POZNAN_H;POZNAN_GL;3,85
POZNAN_H;POZNAN_GR;7,04
POZNAN_H;POZNAN_MAL;5,14
POZNAN_H;POZNAN_MAR;4,27
POZNAN_H;POZNAN_PLA;9,37
POZNAN_H;POZNAN_PLE;9,6
POZNAN_H;POZNAN_PRO;5,91
POZNAN_H;POZNAN_R;2,65
POZNAN_H;POZNAN_T;8,71
POZNAN_H;RADOM;370,07
POZNAN_H;RZESZOW_1;519,67
POZNAN_H;RZESZOW_2;527,57
POZNAN_H;SIERADZ;185,56
POZNAN_H;SUCHY_LAS;12,99
POZNAN_H;SWARZEDZ;14,16
POZNAN_H;SRODA_WLKP;37,14
POZNAN_H;TORUN_1;165,89
POZNAN_H;TORUN_2;166,54
POZNAN_H;TORUN_3;169,7
POZNAN_H;TRZCIANKA;91,02
POZNAN_H;WARSZAWA_BL;307,35
POZNAN_H;WARSZAWA_J;307,84
POZNAN_H;WARSZAWA_TARCH;316,98
POZNAN_H;WROCLAW_1;172
POZNAN_H;WROCLAW_2;172,87
POZNAN_H;WROCLAW_3;170,34
POZNAN_H;WROCLAW_4;172,96
POZNAN_H;WROCLAW_5;170,91
POZNAN_H;ZLOTOW;133,2
POZNAN_H;CHRZANOW;403,01
POZNAN_H;KATOWICE;369,16
POZNAN_H;BIELSKO_BIALA;424,24
POZNAN_H;GDANSK_1;314,62
POZNAN_H;GDANSK_2;304,65
POZNAN_H;GDANSK_3;311,36
POZNAN_H;STARGARD_SZCZECINSKI;248,9
POZNAN_H;SZCZECIN_1;269,58
POZNAN_H;SZCZECIN_2;265,49
POZNAN_H;SZCZECIN_3;260,56
POZNAN_H;TCZEW;284,47
POZNAN_H;GRUDZIADZ_1;214,19
POZNAN_H;GRUDZIADZ_2;228,82
POZNAN_H;WARSZAWA_STAWKI;310,01
POZNAN_H;JOZEFOSLAW;316,48
POZNAN_H;GDANSK_4;305,37
POZNAN_H;GDANSK_5;314,73
POZNAN_H;OLSZTYN;342,66
POZNAN_H;ZIELONA_GORA_1;152,37
POZNAN_H;ZIELONA_GORA_2;153,04
POZNAN_H;SLUBICE;171,18
POZNAN_H;DREZDENKO;110,32
POZNAN_H;STRZELCE_KRAJENSKIE;132,11
POZNAN_H;GORZOW_1;163,21
POZNAN_H;GORZOW_2;160,52
POZNAN_H;PNIEWY;51,43
POZNAN_H;PLOCK_1;228,37
POZNAN_H;PLOCK_2;227,74
POZNAN_H;PLOCK_3;227,74
POZNAN_H;BRWINOW;291,61
POZNAN_H;WARSZAWA_TARG;317,22
POZNAN_H;WARSZAWA_UR;315,74
POZNAN_H;TARNOWO_PODGORNE;20,57
POZNAN_H;GNIEZNO;63,48
POZNAN_H;GRUDZIADZ_3;214,04
POZNAN_MAL;DC;14,11
POZNAN_MAL;BIALYSTOK_1;500,56
POZNAN_MAL;BIALYSTOK_2;497,44
POZNAN_MAL;BYDGOSZCZ_1;141,57
POZNAN_MAL;BYDGOSZCZ_2;152,28
POZNAN_MAL;BYDGOSZCZ_3;144,21
POZNAN_MAL;GLOGOW_1;127,85
POZNAN_MAL;GLOGOW_2;130,62
POZNAN_MAL;INOWROCLAW;121,87
POZNAN_MAL;JAROCIN;74,92
POZNAN_MAL;KALISZ_1;144,08
POZNAN_MAL;KIELCE;348,16
POZNAN_MAL;KONIN;99,62
POZNAN_MAL;KOSZALIN;245,23
POZNAN_MAL;LEGNICA;179,63
POZNAN_MAL;LESZNO_1;81,5
POZNAN_MAL;LESZNO_2;83,86
POZNAN_MAL;LUBIN;161,91
POZNAN_MAL;LUBON;10,69
POZNAN_MAL;LODZ_1;197,1
POZNAN_MAL;LODZ_2;209,4
POZNAN_MAL;OBORNIKI_WLKP;35,39
POZNAN_MAL;PABIANICE;220,16
POZNAN_MAL;PILA_1;105,41
POZNAN_MAL;PILA_2;106
POZNAN_MAL;PIOTRKOW_TRYB;245,91
POZNAN_MAL;POZNAN_Z;4,45
POZNAN_MAL;POZNAN_B;4,07
POZNAN_MAL;POZNAN_D;10,93
POZNAN_MAL;POZNAN_GL;6,14
POZNAN_MAL;POZNAN_GR;6,36
POZNAN_MAL;POZNAN_H;7,08
POZNAN_MAL;POZNAN_MAR;6,96
POZNAN_MAL;POZNAN_PLA;7,46
POZNAN_MAL;POZNAN_PLE;14,57
POZNAN_MAL;POZNAN_PRO;10,87
POZNAN_MAL;POZNAN_R;3,57
POZNAN_MAL;POZNAN_T;10,14
POZNAN_MAL;RADOM;368,11
POZNAN_MAL;RZESZOW_1;517,71
POZNAN_MAL;RZESZOW_2;525,61
POZNAN_MAL;SIERADZ;183,6
POZNAN_MAL;SUCHY_LAS;12,7
POZNAN_MAL;SWARZEDZ;10,06
POZNAN_MAL;SRODA_WLKP;34,82
POZNAN_MAL;TORUN_1;163,93
POZNAN_MAL;TORUN_2;164,58
POZNAN_MAL;TORUN_3;167,74
POZNAN_MAL;TRZCIANKA;90,73
POZNAN_MAL;WARSZAWA_BL;305,39
POZNAN_MAL;WARSZAWA_J;305,88
POZNAN_MAL;WARSZAWA_TARCH;315,02
POZNAN_MAL;WROCLAW_1;169,69
POZNAN_MAL;WROCLAW_2;170,55
POZNAN_MAL;WROCLAW_3;168,02
POZNAN_MAL;WROCLAW_4;170,65
POZNAN_MAL;WROCLAW_5;168,6
POZNAN_MAL;ZLOTOW;129,8
POZNAN_MAL;CHRZANOW;400,7
POZNAN_MAL;KATOWICE;366,84
POZNAN_MAL;BIELSKO_BIALA;421,92
POZNAN_MAL;GDANSK_1;312,66
POZNAN_MAL;GDANSK_2;302,7
POZNAN_MAL;GDANSK_3;309,4
POZNAN_MAL;STARGARD_SZCZECINSKI;253,37
POZNAN_MAL;SZCZECIN_1;274,05
POZNAN_MAL;SZCZECIN_2;269,95
POZNAN_MAL;SZCZECIN_3;265,02
POZNAN_MAL;TCZEW;282,52
POZNAN_MAL;GRUDZIADZ_1;212,23
POZNAN_MAL;GRUDZIADZ_2;226,86
POZNAN_MAL;WARSZAWA_STAWKI;308,06
POZNAN_MAL;JOZEFOSLAW;314,52
POZNAN_MAL;GDANSK_4;303,41
POZNAN_MAL;GDANSK_5;312,77
POZNAN_MAL;OLSZTYN;340,7
POZNAN_MAL;ZIELONA_GORA_1;156,84
POZNAN_MAL;ZIELONA_GORA_2;157,51
POZNAN_MAL;SLUBICE;175,65
POZNAN_MAL;DREZDENKO;111,75
POZNAN_MAL;STRZELCE_KRAJENSKIE;133,54
POZNAN_MAL;GORZOW_1;167,68
POZNAN_MAL;GORZOW_2;164,99
POZNAN_MAL;PNIEWY;52,86
POZNAN_MAL;PLOCK_1;226,41
POZNAN_MAL;PLOCK_2;225,78
POZNAN_MAL;PLOCK_3;225,78
POZNAN_MAL;BRWINOW;289,65
POZNAN_MAL;WARSZAWA_TARG;315,26
